Date,Portfoliovalue
2021-05-15,13617.3241
2021-05-16,13617.3241
2021-05-17,13614.1448
2021-05-18,13562.1217
2021-05-19,13537.5863
2021-05-20,13734.5796
2021-05-21,13625.2604
2021-05-22,13625.2604
2021-05-23,13625.2604
2021-05-24,13799.2409
2021-05-25,13811.9789
2021-05-26,13835.8146
2021-05-27,14018.2717
2021-05-28,13912.12
2021-05-29,13912.12
